jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-222723,CAN信号调用替换，不可在CoreService内部封装信号进行调用，需要使用info3内的封装好的信号,安吉星未下发且BDF版本不符，问题已定位待确认 [详情: D:\program16\docs\2026-08-31\VCU-222723_comments.md],0.719,是,
VCU-225187,1. 目前只有才app启动时才会把远程天窗控制设置会on， 但是在重置车辆及驾驶设时，把远程天窗控制重置为off。 这个过程app没有重新启动过，所以远程天窗控制一直off状态 2. 远程天窗，远程车窗，远程座椅自动通风，远程座椅自动加热通过loop的方式在4个子线程去执行开启逻辑， 但是使用了同一个usecase， 导致在线程启动之前进行第二loop时修改了usecase的局部变量，在线程真正执,远控天窗失效，因配置off所致，复位恢复，VCU待查 [详情: D:\program16\docs\2026-08-31\VCU-225187_comments.md],0.704,是,
VCU-225230,发现QNX PKI 程序启动加载存储数据到缓存时存在buffer 长度不够的情况，可能是导致冷启动重新DR的原因。,CA写入错位致双向认证失败，待实车复测 [详情: D:\program16\docs\2026-08-31\VCU-225230_comments.md],0.55,否,置信度0.55<0.7，语义相似度0.1<0.7
VCU-225563,发现QNX PKI 程序启动加载存储数据到缓存时存在buffer 长度不够的情况，可能是导致冷启动重新DR的原因。,网络问题致DNS超时及VCU重启，待博世确认 [详情: D:\program16\docs\2026-08-31\VCU-225563_comments.md],0.727,是,
VCU-226779,刷新token时提示try catch,远控失败因RVSS状态不一致，指令未达车端 [详情: D:\program16\docs\2026-08-31\VCU-226779_comments.md],0.7,是,
VCU-229457,启动时序问题，远程服务 注册了监听开机广播，在开机广播收到后，启动 远程服务 失败； 系统层分析 ，启动失败原因是 ，当前服务没有解锁，清单文件没有读写完成，所以启动不来；,远控服务启动失败源于包缺失，已修复并复测通过 [详情: D:\program16\docs\2026-08-31\VCU-229457_comments.md],0.78,是,
VCU-230189,"符合设计意图，拔枪之后，要PSA+切初P档才会将range gained reset 掉。 如果把切P 档的条件去掉，客户在充完电后很可能一进到车里就PSA, 无法看见这个数值。",底层回调为0致上报异常，已定位 [详情: D:\program16\docs\2026-08-31\VCU-230189_comments.md],0.669,否,置信度0.669<0.7，语义相似度0.461<0.7
VCU-230196,"同问题单：<a href=""https://peedp.saic-gm.com/ccm/web/projects/VCS_Info4.0_High_Platform_PATAC_RTC#action=com.ibm.team.workitem.viewWorkItem&id=1105989"">1105989</a>",VCU注入Key不一致，0x16C未发，疑SOMEIP配置异常 [详情: D:\program16\docs\2026-08-31\VCU-230196_comments.md],0.886,是,
VCU-230317,cyclic_offer_delay未配置，使用了默认值1100，导致和VXM不一致,浅休眠唤醒后远控失败，SOME/IP服务缺失致VCU未收offer [详情: D:\program16\docs\2026-08-31\VCU-230317_comments.md],0.502,否,置信度0.502<0.7，语义相似度0.628<0.7
VCU-230777,PDF在处理充电模式切换时，没有成功将已激活的充电模式关闭。,充电指令冲突致模式异常，待复测确认 [详情: D:\program16\docs\2026-08-31\VCU-230777_comments.md],0.0,是,
VCU-231467,因为车机端时间调节请求与不经过Coreservice，所以无法正确的缓存结束时间,连续指令仅处理首条，预约时间未更新，已修复 [详情: D:\program16\docs\2026-08-31\VCU-231467_comments.md],0.868,是,
VCU-231637,判断结束时间是否重复逻辑存在问题,预约充电调节失败，与Bug 1104852同源，修复已验证 [详情: D:\program16\docs\2026-08-31\VCU-231637_comments.md],0.605,否,置信度0.605<0.7，语义相似度0.47<0.7
VCU-232089,监听被移除 导致结束时间无法正常下发,预约充电参数异常致VCU响应错误，待版本修复 [详情: D:\program16\docs\2026-08-31\VCU-232089_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.2<0.7
VCU-233963,"远程启动成功后，方向盘加热的Heated Steering Wheel Levels Available 信号未及时变成two level available, 还在0。导致VCU中的property逻辑认为，此时车端的方向盘加热无法控制，从而未发出请求信号",方向盘加热失败，因信号源异常致VHAL下发受阻 [详情: D:\program16\docs\2026-08-31\VCU-233963_comments.md],0.879,是,
VCU-236039,"同问题 <a href=""https://peedp.saic-gm.com/ccm/web/projects/VCS_Info4.0_High_Platform_PATAC_RTC#action=com.ibm.team.workitem.viewWorkItem&id=1153363"">1153363</a>",防火墙重启丢TCP致车窗控制失败，改无状态规则待评估 [详情: D:\program16\docs\2026-08-31\VCU-236039_comments.md],0.902,是,
VCU-237188,BDF V16.0上线,远光灯失效因信号false，BDF与VCU逻辑不同步，V16待复测 [详情: D:\program16\docs\2026-08-31\VCU-237188_comments.md],0.856,是,
VCU-238243,一样的问题，557 BDF V16.0断点，CR 1113095,AHBA状态2无回调，对手件不响应，同CR1113095 [详情: D:\program16\docs\2026-08-31\VCU-238243_comments.md],0.875,是,
VCU-242699,VCU版本升级后问题已解决，未再复现,远控鸣笛异常定位至coreservice异常topic，待网关日志确认 [详情: D:\program16\docs\2026-08-31\VCU-242699_comments.md],0.72,是,
VCU-243308,mount时候user10未绑定上，导致未上报给APP。异常时候，也未做reset操作。,代码回退致挂载异常，根因未绑定及状态未重置 [详情: D:\program16\docs\2026-08-31\VCU-243308_comments.md],0.935,是,
VCU-243971,同1210699,车窗远控状态比对失败，系信号缺失及版本未合入，主线已修复待验 [详情: D:\program16\docs\2026-08-31\VCU-243971_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.362<0.7
VCU-244337,参数错误,RPC未注册致远控异常，温度已修复，车端根因待查 [详情: D:\program16\docs\2026-08-31\VCU-244337_comments.md],0.922,是,
VCU-244354,VCU使用了真实SOC作为低电量依据，实际应该使用表显SOC值 远控服务目前使用的信号为，High Voltage Battery State of Charge : Battery State of Charge 按照comment7描述，需要修改为，Customer Usable State of Charge 这个是表显的总线信号,SOC信号源误用表显值致显示异常，已修复 [详情: D:\program16\docs\2026-08-31\VCU-244354_comments.md],0.0,是,
VCU-245299,,,,否,Jira根因分析内容为空
VCU-403083,远控冷启动延时较短，coreservice服务还没有启动完成。,SOMEIP未就绪致鸣笛失败，时序问题待定责 [详情: D:\program16\docs\2026-08-31\VCU-403083_comments.md],0.504,否,置信度0.504<0.7，语义相似度0.2<0.7
VCU-404091,<b>vin码通过PatacService再通过诊断服务获取过程中，诊断服务绑定carservice数量超出系统最大限制3000</b>,VCU启动缺VIN致车云建联失败，根因在Car service待复测 [详情: D:\program16\docs\2026-08-31\VCU-404091_comments.md],0.712,是,
VCU-404442,香氛运行时间标定未按照单次远程启动周期设置,香氛超时触发2B000，SOME/IP回调缺失，待OTA修复 [详情: D:\program16\docs\2026-08-31\VCU-404442_comments.md],0.539,否,置信度0.539<0.7，语义相似度0.2<0.7
VCU-405338,从波形图上看，wlan pcie枚举之前bt_en就已经拉高了，bt_en在wlan pcie枚举之前应该维持低电平,WiFi HAL启动失败，上电时序异常致PCIE恢复失效，根因待芯片商确认 [详情: D:\program16\docs\2026-08-31\VCU-405338_comments.md],0.515,否,置信度0.515<0.7，语义相似度0.2<0.7
VCU-408488,是否显示香氛信号返回的是true,车辆香氛异常，已定位为已知Bug 1225933 [详情: D:\program16\docs\2026-08-31\VCU-408488_comments.md],0.536,否,置信度0.536<0.7，语义相似度0.65<0.7
VCU-408831,车窗控制时电池电压低,休眠关窗失败系欠压保护触发，VCU升级后复测通过 [详情: D:\program16\docs\2026-08-31\VCU-408831_comments.md],0.88,是,
VCU-413869,TTS错误,远光灯控制缺失致CallResponse异常，TTS待确认 [详情: D:\program16\docs\2026-08-31\VCU-413869_comments.md],0.88,是,
VCU-414948,香氛模块软件变动，之前的版本支持，到该版本不支持。VCU软件未作变动。 现香氛模块反馈切浓度只能下发如下两条指令： HVAC Infotainment Controls Request Fragrance Diffuser Scent Intensity Level = 有效值 HVAC Infotainment Controls Request Fragrance Diffuser Scent ,香氛2 OFF报错2B017复现，根因未明，新版本已验证修复 [详情: D:\program16\docs\2026-08-31\VCU-414948_comments.md],0.479,否,置信度0.479<0.7，语义相似度0.1<0.7
VCU-415434,在power off的时候，逻辑没有处理mode信号与温度信号。,SOMEIP上报异常致远程控温失败，0129版已修复待验 [详情: D:\program16\docs\2026-08-31\VCU-415434_comments.md],0.705,是,
VCU-415525,无法复现,远控与总线信号时序冲突，致温度异常，已定位待查 [详情: D:\program16\docs\2026-08-31\VCU-415525_comments.md],0.901,是,
VCU-416376,语义问题,语音指令档位解析越界，根因待查，边界覆盖不足 [详情: D:\program16\docs\2026-08-31\VCU-416376_comments.md],0.892,是,
VCU-416446,版本错误。,TTS文案缺陷致播报重复，旧版验证误判，新版已修复 [详情: D:\program16\docs\2026-08-31\VCU-416446_comments.md],0.697,否,置信度0.697<0.7，语义相似度0.2<0.7
VCU-416575,,,,否,Jira根因分析内容为空
VCU-416584,当前设计如此（Critical）,设计逻辑致“智慧顶灯”误按阅读灯控制，待WAD修复 [详情: D:\program16\docs\2026-08-31\VCU-416584_comments.md],0.878,是,
VCU-416643,符合当前需求，WAD,语音控制自动内外循环未开发，语义路由失败待查 [详情: D:\program16\docs\2026-08-31\VCU-416643_comments.md],0.913,是,
VCU-416768,VCU与VXM启动时序问题， 问题出现时VCU中CoreService在收到远控服务的rpc请求后，向VXM中S2S发起请求，此时S2S尚未启动完毕，所以Coreservice报错1B017,远程闪灯偶发失败，定位SomeIP服务及网关指令异常 [详情: D:\program16\docs\2026-08-31\VCU-416768_comments.md],0.524,否,置信度0.524<0.7，语义相似度0.35<0.7
VCU-416873,重复BUG,闪退根因未明，0108版本已验证修复，需继续排查 [详情: D:\program16\docs\2026-08-31\VCU-416873_comments.md],0.884,是,
VCU-416926,问题重复，跟踪1240096即可 by曹达,NLU归一化丢失“模式”语义，致行李舱动作未联动 [详情: D:\program16\docs\2026-08-31\VCU-416926_comments.md],0.499,否,置信度0.499<0.7，语义相似度0.2<0.7
VCU-416987,思必驰的协议字段参数增加了具体的数值,后视镜调节语义参数错配，0107版仍无执行待复测 [详情: D:\program16\docs\2026-08-31\VCU-416987_comments.md],0.518,否,置信度0.518<0.7，语义相似度0.1<0.7
VCU-417002,问题原因：下发语义有误 解决方案：针对投屏指令，当下发停止时，篡改action为关闭 解决时间：20260109 验证时间2026110 by曹达 内部帮测一下,语义解析错误致指令误发，已修复验证 [详情: D:\program16\docs\2026-08-31\VCU-417002_comments.md],0.515,是,
VCU-417083,代码问题,NLU误解析“二排”为后排致指令失效，已修复复测通过 [详情: D:\program16\docs\2026-08-31\VCU-417083_comments.md],0.915,是,
VCU-417623,进入XX模式和退出XX模式，都会移动座椅，目前语音的交互设计都会引导二次确认,座椅播报链路配置差异致TTS缺失及二次确认异常 [详情: D:\program16\docs\2026-08-31\VCU-417623_comments.md],0.891,是,
VCU-417890,问题原因：不支持模式泛话未识别，向下传递过程语义不满足协议表 解决方案：修改泛话逻辑 解决时间：20260112 验证时间20260113 by曹达,实车复测仍复现，根因未明待深挖 [详情: D:\program16\docs\2026-08-31\VCU-417890_comments.md],0.493,否,置信度0.493<0.7，语义相似度0.15<0.7
VCU-417933,四舍五入逻辑错误。,电量目标值取整问题已定位修复，实车验证通过 [详情: D:\program16\docs\2026-08-31\VCU-417933_comments.md],0.513,否,置信度0.513<0.7，语义相似度0.477<0.7
VCU-417944,/,VRDM信号未生效，同Bug 1234794，逻辑待查 [详情: D:\program16\docs\2026-08-31\VCU-417944_comments.md],0.9,是,
VCU-418020,电压波动导致车窗关闭进程停止,总线电压低致关窗卡2%，待PLM确认 [详情: D:\program16\docs\2026-08-31\VCU-418020_comments.md],0.916,是,
VCU-418082,语义下发有误,字段下发错误已修复，待实车验证 [详情: D:\program16\docs\2026-08-31\VCU-418082_comments.md],0.492,否,置信度0.492<0.7，语义相似度0.3<0.7
VCU-418473,方向盘加热分类错误,NLU在“to”处中断致方向盘加热状态不同步，已修复 [详情: D:\program16\docs\2026-08-31\VCU-418473_comments.md],0.907,是,
VCU-418485,复杂车控同步个性化指令，确保下设值与需求保持一致,NLU触发但VRDM未收变更，0113失败，0114修复 [详情: D:\program16\docs\2026-08-31\VCU-418485_comments.md],0.502,否,置信度0.502<0.7，语义相似度0.396<0.7
VCU-418496,TTS错误。,NLU日志缺失致误回复，根因待新版本验证 [详情: D:\program16\docs\2026-08-31\VCU-418496_comments.md],0.938,是,
VCU-418569,问题原因：下发语义有误 解决方案：针对投屏指令，当下发停止时，篡改action为关闭 解决时间：20260109 验证时间2026110 by曹达 内部帮测一下,意图漂移致停止指令被篡改为关闭，ASR待查 [详情: D:\program16\docs\2026-08-31\VCU-418569_comments.md],0.513,是,
VCU-418619,香氛模块软件变动，之前的版本支持，到该版本不支持。VCU软件未作变动。 现香氛模块反馈切浓度只能下发如下两条指令： HVAC Infotainment Controls Request Fragrance Diffuser Scent Intensity Level = 有效值 HVAC Infotainment Controls Request Fragrance Diffuser Scent ,BDF未收enable信号，字段不匹配致换香失败 [详情: D:\program16\docs\2026-08-31\VCU-418619_comments.md],0.855,是,
VCU-418697,重复BUG,燃油补电请求未拉起页面，已定位修复 [详情: D:\program16\docs\2026-08-31\VCU-418697_comments.md],0.624,否,置信度0.624<0.7，语义相似度0.503<0.7
VCU-418775,语义问题，需要dui特殊处理,语音指令槽位映射错误，路由至行车记录仪，待排查 [详情: D:\program16\docs\2026-08-31\VCU-418775_comments.md],0.862,是,
VCU-418788,后续跟进Bug 1238720,NLU状态误判致大床模式语音误触屏，待日志确认修复 [详情: D:\program16\docs\2026-08-31\VCU-418788_comments.md],0.493,是,
VCU-418865,急速制冷冻和冰饮冷藏字段解析相反,语音延迟7.4秒致1020错误，指令未下发，已修复验证 [详情: D:\program16\docs\2026-08-31\VCU-418865_comments.md],0.869,是,
VCU-418921,2533279085461679 topic 被误删除,远控指令因车速数据缺失失败，待需求侧确认 [详情: D:\program16\docs\2026-08-31\VCU-418921_comments.md],0.625,否,置信度0.625<0.7，语义相似度0.488<0.7
VCU-419146,UE设计如此（Critical — 弹窗触发逻辑缺陷）,NLU误判无位置，触发香氛弹窗及多skill跳转 [详情: D:\program16\docs\2026-08-31\VCU-419146_comments.md],0.86,是,
VCU-419193,需求变更,指令下发截断，SOMEIP异常待联电确认闭环 [详情: D:\program16\docs\2026-08-31\VCU-419193_comments.md],0.692,否,置信度0.692<0.7，语义相似度0.1<0.7
VCU-419487,语义问题,0118版本语音指令下发异常，0122已修复 [详情: D:\program16\docs\2026-08-31\VCU-419487_comments.md],0.921,是,
VCU-419580,语义解析问题,主驾阅读灯调光失败，疑推理层问题待查 [详情: D:\program16\docs\2026-08-31\VCU-419580_comments.md],0.869,是,
VCU-419587,代码逻辑问题,温度指令流转异常致数据丢失，已修复验证通过 [详情: D:\program16\docs\2026-08-31\VCU-419587_comments.md],0.908,是,
VCU-419628,语义有问题,云端误召致保电失效，小数识别缺失，0112验证未过待查 [详情: D:\program16\docs\2026-08-31\VCU-419628_comments.md],0.95,是,
VCU-419833,预期结果不对,TTS模板1013文案错误，误引导用户调节氛围灯 [详情: D:\program16\docs\2026-08-31\VCU-419833_comments.md],0.529,是,
VCU-419947,null,副驾零重力/VIP模式启动受限，根因系二排占位触发安全逻辑 [详情: D:\program16\docs\2026-08-31\VCU-419947_comments.md],0.88,是,
VCU-420093,没有超级节能模式的判断,NLU流程中断于on process nlu->to，原因待查 [详情: D:\program16\docs\2026-08-31\VCU-420093_comments.md],0.876,是,
VCU-420204,符合需求（状态对比未追踪：无法确认座椅位置状态是否确实处于最后位置，也无法确认语音助手是否查询了座椅当前位置。）,副驾座椅调节缺极值判断，需补日志验证 [详情: D:\program16\docs\2026-08-31\VCU-420204_comments.md],0.927,是,
VCU-420411,提交 app feature code 到R2,远程指令下发成功但车端无响应，故障码已定位待验证 [详情: D:\program16\docs\2026-08-31\VCU-420411_comments.md],0.691,否,置信度0.691<0.7，语义相似度0.466<0.7
VCU-420588,dup 1253912,RemoteSVC未启动致360出图超时，进程异常待查 [详情: D:\program16\docs\2026-08-31\VCU-420588_comments.md],0.91,是,
VCU-420865,老版本冰箱问题,语音控制报错码5，系core service未发topic，待联电确认 [详情: D:\program16\docs\2026-08-31\VCU-420865_comments.md],0.869,是,
VCU-420881,标定修改,标定已改但充电限值异常仍存，待深查 [详情: D:\program16\docs\2026-08-31\VCU-420881_comments.md],0.0,是,
VCU-420885,不是问题,VRDM未动态监测信号，值5含义待PLM确认 [详情: D:\program16\docs\2026-08-31\VCU-420885_comments.md],0.735,是,
VCU-420976,语音设置tab隐藏的时候没有停止动画播放,语音模式切换致车模控件不同步，后台动画耗CPU待验证 [详情: D:\program16\docs\2026-08-31\VCU-420976_comments.md],0.528,否,置信度0.528<0.7，语义相似度0.35<0.7
VCU-421428,重复BUG,VRDM请求无响应，doNativeCommand返回空对象已定位修复 [详情: D:\program16\docs\2026-08-31\VCU-421428_comments.md],0.901,是,
VCU-421444,语义问题，缺少字段，已更新,车内灯调节偶发失效，算法环节待发版验证 [详情: D:\program16\docs\2026-08-31\VCU-421444_comments.md],0.519,否,置信度0.519<0.7，语义相似度0.1<0.7
