jira号,执行结果,报告长度,备注,执行时间,AI评论总结,rootcause,结果置信度
VCU-162230,成功,0,分析任务已启动，Issue: VCU-162230 正在后台处理中,2024-07-29 09:21:52,,,
VCU-46573,成功,0,分析任务已启动，Issue: VCU-46573 正在后台处理中,2021-10-13 10:46:13,,,
VCU-215765,成功,0,分析任务已启动，Issue: VCU-215765 正在后台处理中,2025-07-25 10:03:02,MQTT 断连是核心根因 [详情: D:\program16\docs\2026-08-27\VCU-215765_comments.md],WAD,0.913
VCU-199058,成功,0,分析任务已启动，Issue: VCU-199058 正在后台处理中,2025-04-15 18:22:56,Critical — 关闭时模式字段未重置 [详情: D:\program16\docs\2026-08-27\VCU-199058_comments.md],代码逻辑,0.895
VCU-243308,成功,0,分析任务已启动，Issue: VCU-243308 正在后台处理中,2025-11-11 11:01:12,冷启动时序竞争导致 U盘首次挂载失败 [详情: D:\program16\docs\2026-08-27\VCU-243308_comments.md],mount时候user10未绑定上，导致未上报给APP。异常时候，也未做reset操作。,0.95
VCU-514916,成功,0,分析任务已启动，Issue: VCU-514916 正在后台处理中,2026-06-29 15:49:47,蜂窝网络验证失败是根因 [详情: D:\program16\docs\2026-08-27\VCU-514916_comments.md],网络模块发送7539时MCU处于休眠状态，未接收到,0.956
VCU-413869,成功,0,分析任务已启动，Issue: VCU-413869 正在后台处理中,2026-01-02 12:55:55,high.beam.switch 意图处理配置缺失 [详情: D:\program16\docs\2026-08-27\VCU-413869_comments.md],TTS错误,0.864
VCU-124922,成功,0,分析任务已启动，Issue: VCU-124922 正在后台处理中,2023-11-01 11:30:56,,,
VCU-243971,成功,0,分析任务已启动，Issue: VCU-243971 正在后台处理中,2025-11-24 13:59:09,,,
VCU-491630,成功,0,分析任务已启动，Issue: VCU-491630 正在后台处理中,2026-05-22 13:43:11,ECU 下电状态无状态反馈 [详情: D:\program16\docs\2026-08-27\VCU-491630_comments.md],远控遮阳帘不上线，关闭此问题。,0.859
VCU-181064,成功,0,分析任务已启动，Issue: VCU-181064 正在后台处理中,2024-12-18 14:39:40,,,
VCU-243245,成功,0,分析任务已启动，Issue: VCU-243245 正在后台处理中,2025-10-31 10:40:53,,,
VCU-218718,成功,0,分析任务已启动，Issue: VCU-218718 正在后台处理中,2025-07-22 12:12:59,,,
VCU-147995,成功,0,分析任务已启动，Issue: VCU-147995 正在后台处理中,2024-04-12 10:28:02,,,
VCU-423505,成功,0,分析任务已启动，Issue: VCU-423505 正在后台处理中,2026-02-28 03:00:47,,,
VCU-222954,成功,0,分析任务已启动，Issue: VCU-222954 正在后台处理中,2025-07-16 21:38:17,,,
VCU-484855,成功,0,分析任务已启动，Issue: VCU-484855 正在后台处理中,2026-05-22 18:01:07,,,
VCU-230388,成功,0,分析任务已启动，Issue: VCU-230388 正在后台处理中,2025-08-20 18:05:40,,,
VCU-93210,成功,0,分析任务已启动，Issue: VCU-93210 正在后台处理中,2023-04-21 15:23:57,,,
