jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-244354,VCU使用了真实SOC作为低电量依据，实际应该使用表显SOC值 远控服务目前使用的信号为，High Voltage Battery State of Charge : Battery State of Charge 按照comment7描述，需要修改为，Customer Usable State of Charge 这个是表显的总线信号,根因：远控侧SOC缓存未实时刷新 [详情: D:\program16\docs\2026-08-27\VCU-244354_comments.md],0.0,否,置信度0.0<0.7
VCU-157809,便利上车和遍历下车的available信号都是false，不可用状态，请对手件确认。,根因：定制设置信号源不可用 [详情: D:\program16\docs\2026-08-27\VCU-157809_comments.md],0.65,否,置信度0.65<0.7
VCU-403083,远控冷启动延时较短，coreservice服务还没有启动完成。,根因：SomeIP服务瞬时不可用引发轮询 [详情: D:\program16\docs\2026-08-27\VCU-403083_comments.md],0.504,否,置信度0.504<0.7
VCU-205023,ND车型空调的标定与557不一样，标定不同AREAID不同，所以需要通过标定来动态修改areaid,根因：远程启动前置条件未满足 [详情: D:\program16\docs\2026-08-27\VCU-205023_comments.md],0.547,否,置信度0.547<0.7
VCU-218521,代码原因,根因：指令响应与状态上报时序错位 [详情: D:\program16\docs\2026-08-27\VCU-218521_comments.md],0.881,是,
VCU-194145,,,,否,多维表格中未成功
VCU-523014,mqttmp 探测器服务pod内部网络异常，已修复，请重新测试，谢谢,MQTTMP服务Pod基础设施故障 [详情: D:\program16\docs\2026-08-27\VCU-523014_comments.md],0.774,是,
VCU-403774,,,,否,多维表格中未成功
VCU-162230,无售后问题抱怨，且问题感知度极低,根因：底层落锁信号不可用 [详情: D:\program16\docs\2026-08-27\VCU-162230_comments.md],0.706,是,
VCU-46573,,,,否,多维表格中未成功
VCU-215765,WAD,根因：安吉星未注册 [详情: D:\program16\docs\2026-08-27\VCU-215765_comments.md],0.928,是,
VCU-199058,代码逻辑,根因：联动逻辑未处理关闭状态 [详情: D:\program16\docs\2026-08-27\VCU-199058_comments.md],0.895,是,
VCU-243308,mount时候user10未绑定上，导致未上报给APP。异常时候，也未做reset操作。,根因：vold blkid执行超时导致挂 [详情: D:\program16\docs\2026-08-27\VCU-243308_comments.md],0.95,是,
VCU-514916,网络模块发送7539时MCU处于休眠状态，未接收到,根因：VCU休眠期间网络能力失效未恢复 [详情: D:\program16\docs\2026-08-27\VCU-514916_comments.md],0.906,是,
VCU-413869,TTS错误,根因：TTS响应内容缺失 [详情: D:\program16\docs\2026-08-27\VCU-413869_comments.md],0.88,是,
VCU-124922,非VCU问题,根因：HMIC进程崩溃重启致日志中断 [详情: D:\program16\docs\2026-08-27\VCU-124922_comments.md],0.0,否,置信度0.0<0.7
VCU-243971,同1210699,根因：8155平台jar包版本不匹配 [详情: D:\program16\docs\2026-08-27\VCU-243971_comments.md],0.0,否,置信度0.0<0.7
VCU-491630,远控遮阳帘不上线，关闭此问题。,根因：ECU底层状态反馈为0 [详情: D:\program16\docs\2026-08-27\VCU-491630_comments.md],0.863,是,
VCU-181064,"557 上无远端控制车机wifi开关功能,当前判断了有该功能后return，导致修改Wifi用户名密码部分代码没有被执行。",根因：WiFiModule字段被错误置为 [详情: D:\program16\docs\2026-08-27\VCU-181064_comments.md],0.564,否,置信度0.564<0.7
VCU-243245,,,,否,多维表格中未成功
VCU-218718,,,,否,多维表格中未成功
VCU-147995,,,,否,多维表格中未成功
VCU-423505,,,,否,多维表格中未成功
VCU-222954,,,,否,多维表格中未成功
VCU-484855,,,,否,多维表格中未成功
VCU-230388,,,,否,多维表格中未成功
VCU-93210,,,,否,多维表格中未成功
